# episodes,genre,network,rating,s_rating,title,cast
32,"['3g', '9g', '23g', '25g']",MBC,8.85,PG-13,"Jung Yi, the Goddess of Fire",
16,"['1g', '23g']",KBS ,8.3,PG-13,The Man in the Mask,
36,"['9g', '23g']",MBC,9.51,PG-13,Scandal: A Shocking and Wrongful...,
23,"['9g', '1037g', '23g', '1041g']",KBS,9.01,PG-13,The King’s Face,
16,"['23g', '24g', '9g']",KBS,9.63,PG-13,Oh My Geum Bi,
50,"['17g', '18g', '23g', '9g']",MBC,9.14,PG-13,Gloria,
8,"['1044g', '10g', '17g', '1030g']",KBS,9.43,PG-13,Dancing High,
11,"['1g', '23g', '7g', '9g']",OCN,9.69,PG-13,Bad Guys,
16,"['1053g', '18g', '23g', '6g', '9g']",Channel A,8.75,PG-13,Panda and Hedgehog,
16,"['23g', '1041g', '9g']",tvN,9.7,PG-13,Memory,
24,"['1041g', '9g', '23g', '25g', '3g', '1037g', '18g']",KBS,8.97,PG-13,Hwangjini,
18,"['9g', '1040g', '23g', '18g']",SBS ,9.11,PG-13,The Gang Doctor,
16,"['6g', '23g', '1g', '9g', '18g']",KBS,8.99,PG-13,Secret Agent Miss Oh,
50,"['23g', '18g', '9g']",MBC,8.96,PG-13,Assorted Gems,
54,"['23g', '9g']",MBC,8.93,PG-13,Twinkle Twinkle,
60,"['9g', '23g', '1041g']",SBS,9.49,PG-13,Giant,
32,"['23g', '25g', '3g', '9g']",MBC,9.32,PG-13,Kim Soo Ro,
50,"['9g', '23g', '24g', '6g']",MBC,7.67,PG-13,Man Who Sets the Table,
20,"['23g', '7g', '9g', '26g']",SBS,9.28,PG-13,Ghost,
32,"['7g', '26g', '9g', '23g']",SBS,9.18,PG-13,Secret Mother,
8,"['1038g', '1045g', '18g', '23g']",,8.63,PG-13,Hot and Sweet,
16,"['9g', '23g', '7g', '26g']",KBS,8.82,PG-13,Queen of Mystery 2,
16,"['23g', '7g', '9g', '18g']",tvN,8.64,PG-13,My Secret Hotel,
16,"['23g', '18g', '9g']",MBC,9.15,PG-13,Woman With a Suitcase,
